,predicted_label,label,model correct
5240,0,0,True
18935,1,1,True
12515,0,1,False
19165,0,1,False
19517,1,1,True
5503,0,0,True
7808,1,0,False
16256,0,1,False
24903,0,1,False
1320,0,0,True
7084,1,0,False
4939,1,0,False
20048,0,1,False
4964,1,0,False
15696,1,1,True
13064,0,1,False
18389,1,1,True
7629,0,0,True
15658,1,1,True
8325,1,0,False
18093,0,1,False
3080,1,0,False
19855,1,1,True
11152,0,0,True
9909,1,0,False
9962,1,0,False
5771,0,0,True
5179,0,0,True
19493,1,1,True
6546,0,0,True
2399,0,0,True
10856,1,0,False
6553,1,0,False
4322,1,0,False
23417,1,1,True
19937,0,1,False
24347,0,1,False
17504,1,1,True
13719,0,1,False
17805,1,1,True
12148,0,0,True
10222,1,0,False
11159,0,0,True
2378,0,0,True
8774,0,0,True
13608,0,1,False
15052,0,1,False
898,0,0,True
14314,0,1,False
500,0,0,True
22665,1,1,True
12703,1,1,True
1108,0,0,True
8350,1,0,False
22806,1,1,True
19148,0,1,False
20393,0,1,False
3457,0,0,True
1357,0,0,True
8300,0,0,True
11676,0,0,True
24675,1,1,True
4182,1,0,False
21195,0,1,False
18817,1,1,True
14926,0,1,False
23037,1,1,True
24206,0,1,False
15829,1,1,True
3102,1,0,False
14549,1,1,True
13260,1,1,True
5271,1,0,False
677,1,0,False
24270,1,1,True
8626,0,0,True
17165,1,1,True
18419,0,1,False
6219,0,0,True
5819,0,0,True
2331,1,0,False
9250,1,0,False
46,1,0,False
6966,1,0,False
19274,1,1,True
3407,1,0,False
15182,1,1,True
8302,1,0,False
9768,1,0,False
742,1,0,False
7064,1,0,False
13766,0,1,False
13523,1,1,True
10749,1,0,False
24452,1,1,True
2576,1,0,False
24602,1,1,True
15289,0,1,False
14901,0,1,False
22001,0,1,False
12653,1,1,True
5718,1,0,False
6406,1,0,False
24418,1,1,True
5208,1,0,False
22287,1,1,True
23649,0,1,False
2809,0,0,True
12505,1,1,True
23898,1,1,True
22431,0,1,False
7684,1,0,False
11154,0,0,True
2718,0,0,True
11979,0,0,True
8469,1,0,False
20855,0,1,False
20640,1,1,True
869,1,0,False
6410,1,0,False
663,0,0,True
17896,1,1,True
9154,1,0,False
145,1,0,False
3649,1,0,False
24032,0,1,False
5752,1,0,False
5256,1,0,False
10664,1,0,False
2481,0,0,True
21641,0,1,False
6864,0,0,True
1876,0,0,True
20365,1,1,True
13317,0,1,False
4969,1,0,False
13448,0,1,False
7159,0,0,True
9672,0,0,True
16879,0,1,False
6799,0,1,False
19062,0,1,False
3366,0,0,True
6004,1,0,False
24329,1,1,True
8275,1,0,False
11045,1,0,False
12125,0,0,True
16893,1,1,True
14731,0,1,False
7861,0,1,False
24311,0,1,False
23943,1,1,True
24901,0,1,False
19776,1,1,True
18051,1,1,False
6431,1,0,False
23985,1,1,True
5220,0,0,True
11787,1,0,False
4682,0,0,True
22037,1,1,True
13132,0,1,False
9516,1,0,False
879,0,0,True
21011,1,1,True
18872,1,1,True
5636,0,0,True
24577,1,1,True
10631,0,1,False
10289,0,1,False
10658,1,0,False
4252,1,0,False
20067,0,1,False
15675,0,1,False
7905,1,0,False
11519,1,0,False
10538,1,0,False
9926,1,0,False
8496,0,0,True
4671,0,1,False
14287,1,1,True
8307,0,0,True
8644,1,0,False
4536,1,0,False
24036,1,1,True
20778,0,1,False
19635,1,1,True
9217,0,1,False
23174,1,1,True
23119,0,1,False
6254,1,0,False
6275,1,0,False
8260,1,0,False
21813,0,1,False
6426,0,1,False
22705,0,1,False
17426,1,1,True
24283,0,1,False
19400,1,1,True
21612,1,1,True
24269,0,1,False
3684,1,0,False
13464,1,1,True
6763,1,0,False
12136,0,0,True
12525,0,1,False
20784,0,1,False
17491,1,1,True
5102,1,0,False
1509,0,0,True
4628,0,0,True
13096,1,1,True
18058,0,1,False
3239,0,0,True
22912,0,1,False
11687,0,0,True
20322,1,1,True
14171,0,1,False
13678,1,1,True
7855,0,0,True
13026,1,1,True
40,0,0,True
14988,0,1,False
11002,1,0,False
3654,0,0,True
6479,1,0,False
20681,0,1,False
524,1,0,False
8127,0,0,True
11419,0,0,True
19833,0,1,False
17839,1,1,True
4162,0,0,True
13293,0,1,False
24138,0,1,False
14072,1,1,True
21506,1,1,True
4464,0,0,True
9129,1,0,False
15571,0,1,False
9799,0,0,True
20519,0,1,False
6433,0,0,True
484,1,0,False
23308,0,1,False
16176,1,1,True
6979,1,0,False
4504,0,0,True
9473,1,0,False
20722,0,1,False
23332,0,1,False
5034,0,0,True
2737,0,0,True
21086,0,1,False
4073,0,0,True
10116,0,0,True
22461,1,1,True
6296,0,0,True
16376,1,1,True
11065,1,0,False
20782,1,1,True
12366,1,0,False
15597,1,1,True
21161,1,1,True
19612,1,1,True
5575,1,0,False
4241,1,0,False
11616,0,0,True
3666,0,0,True
17598,0,1,False
5914,1,0,False
10347,1,0,False
12655,1,1,True
22038,1,0,False
13743,0,1,False
6971,1,0,False
14471,0,1,False
915,0,0,True
5938,1,0,False
325,0,0,True
920,1,0,False
15881,0,1,False
8272,0,0,True
10755,0,1,False
16035,1,1,True
9952,0,0,True
23086,1,1,True
16018,0,1,False
11757,1,0,False
10021,1,0,False
20234,1,1,True
11257,1,0,False
21448,1,1,True
22206,1,1,True
11627,0,0,True
4189,0,0,True
6812,0,0,True
9183,1,0,False
834,1,0,False
18960,0,1,False
10368,1,0,False
9464,0,0,True
14198,0,1,False
22075,1,1,True
264,0,0,True
13223,0,1,False
2271,0,0,True
1101,1,0,False
5373,0,0,True
22503,0,1,False
5054,0,0,True
9972,1,0,False
7355,1,0,False
14034,1,1,True
17450,1,1,True
16157,0,1,False
11251,0,0,True
14416,1,1,True
14382,0,1,False
13534,0,1,False
2196,1,0,False
5683,0,0,True
9016,0,0,True
18176,0,1,False
231,1,0,False
19322,1,1,True
12635,1,1,True
16259,0,1,False
20889,1,1,True
20328,0,1,False
10121,0,0,True
8788,0,0,True
24597,1,1,True
2954,1,0,False
21519,1,1,True
19379,1,1,True
20864,1,1,True
15156,1,1,True
10966,0,0,True
19799,0,1,False
16374,1,1,True
8781,1,0,False
9056,1,0,False
9937,0,0,True
562,0,0,True
15199,1,1,True
9304,1,0,False
5982,1,0,False
4701,0,0,True
10869,0,0,True
8692,1,0,False
1945,1,0,False
17745,1,1,True
7161,0,0,True
2157,1,0,False
19573,0,1,False
11730,0,0,True
4544,0,0,True
20068,0,1,False
17149,1,1,True
19349,0,1,False
23864,1,1,True
15877,1,1,True
20096,1,1,True
8750,1,0,False
9423,0,0,True
3455,1,0,False
453,1,0,False
19978,1,1,True
17662,0,1,False
23956,0,1,False
10619,0,0,True
19388,1,1,True
24730,1,1,True
3169,1,0,False
14441,1,1,True
21880,1,1,True
19441,1,1,True
18903,1,1,True
2350,0,0,True
18011,1,1,True
23850,0,1,False
16735,0,1,False
15046,0,1,False
10328,0,0,True
13723,1,1,True
7866,1,0,False
20790,1,1,True
19025,1,1,True
17558,1,1,True
14401,0,1,False
22255,1,1,True
24288,1,1,True
8139,0,0,True
452,1,0,False
20694,0,1,False
7014,0,0,True
2291,1,0,False
22609,0,1,False
9122,0,0,True
14961,1,1,True
9111,0,0,True
2360,0,0,True
16496,1,1,True
22179,0,1,False
22873,1,1,True
1901,1,0,False
22042,0,1,False
21970,1,1,True
6833,0,0,True
7168,1,0,False
16366,1,1,True
23662,1,1,True
7257,0,0,True
23914,1,1,True
13590,1,1,True
12342,1,0,False
12673,1,1,True
24366,0,1,False
990,1,0,False
6398,1,0,False
4636,1,0,False
23335,1,1,True
5125,1,0,False
1433,1,0,False
21780,1,1,True
16569,0,1,False
1716,1,0,False
17110,1,1,True
6608,0,0,True
18570,1,1,True
18898,0,1,False
11735,1,0,False
10442,0,0,True
3290,0,1,False
9931,0,1,False
3251,0,1,False
24303,1,1,True
20652,0,1,False
957,1,0,False
21706,1,1,True
2756,0,0,True
20802,1,1,True
3481,1,0,False
8648,0,0,True
4141,0,0,True
13748,1,1,True
10189,0,1,False
23403,1,1,True
15930,1,1,True
2724,1,0,False
18845,1,0,False
5551,0,0,True
322,1,0,False
11440,0,0,True
18189,1,1,True
4538,0,1,False
18831,1,1,True
12051,1,0,False
6117,1,0,False
19980,0,1,False
3276,0,0,True
4242,1,0,False
11872,0,0,True
3367,0,0,True
14392,0,1,False
18088,0,1,False
3846,1,0,False
15660,0,1,False
21214,1,1,True
13955,1,1,True
23763,0,1,False
5697,1,0,False
24114,1,1,True
5164,0,0,True
20719,1,1,True
12335,1,0,False
3746,1,0,False
15699,1,1,True
3885,1,0,False
17449,1,1,True
18918,1,1,True
2653,0,0,True
16397,1,1,True
13612,1,1,True
6454,0,0,True
8669,0,0,True
22201,1,1,True
17132,0,1,False
7337,1,0,False
11231,1,0,False
24850,1,1,True
16687,0,1,False
11364,1,0,False
741,0,0,True
20238,0,1,False
24447,0,1,False
21966,0,1,False
13483,0,1,False
10702,0,0,True
16370,1,1,True
15124,0,1,False
7892,0,0,True
9626,0,1,False
13247,1,1,True
4013,0,0,True
19230,0,1,False
2142,1,0,False
568,0,0,True
10948,0,0,True
11711,1,0,False
5121,1,0,False
1226,1,0,False
6225,0,0,True
21596,1,1,True
5739,1,0,False
967,0,0,True
23629,1,1,True
1517,0,0,True
24031,0,1,False
23835,0,1,False
393,1,0,False
18849,1,1,True
10094,0,0,True
19859,0,1,False
24547,0,1,False
5155,0,0,True
7081,0,0,True
19312,0,1,False
23684,0,1,False
24975,1,1,True
23664,0,1,False
16273,1,1,True
14161,0,1,False
3176,1,0,False
20400,0,1,False
12816,0,1,False
7423,0,0,True
4067,0,0,True
18542,0,1,False
7175,0,0,True
22333,1,1,True
21568,1,1,True
5574,1,0,False
14182,1,1,True
11352,1,0,False
17946,1,1,True
21666,1,1,True
2816,0,0,True
5835,1,0,False
23250,0,1,False
7061,0,0,True
12219,1,0,False
14851,0,1,False
6557,0,0,True
12677,0,1,False
16090,1,1,True
14643,1,1,True
2637,1,0,False
15159,1,1,True
10366,1,0,False
12180,0,0,True
840,1,0,False
11779,0,0,True
14424,0,1,False
10283,0,0,True
17704,0,1,False
20479,1,1,True
23253,1,1,True
10783,1,0,False
12158,1,0,False
18186,0,1,False
1306,0,0,True
16437,1,1,True
13430,0,1,False
5527,1,0,False
22013,0,1,False
13582,1,1,True
24534,1,1,True
15225,0,1,False
1569,1,0,False
2813,1,0,False
24965,0,1,False
6522,1,0,False
21534,1,1,True
4715,0,0,True
23786,0,1,False
1882,1,0,False
21364,0,1,False
13164,0,1,False
2193,1,0,False
14924,1,1,True
17853,0,1,False
4826,1,0,False
8116,0,0,True
21157,1,1,True
18504,1,1,True
7003,0,0,True
15395,1,1,True
707,1,0,False
24151,1,1,True
6047,0,0,True
7344,1,0,False
7256,1,0,False
10373,0,0,True
5798,1,0,False
421,1,0,False
22590,1,1,True
9157,0,0,True
18236,0,1,False
16232,0,1,False
3779,0,0,True
6162,1,0,False
20109,0,1,False
8125,0,0,True
7358,0,0,True
21033,0,1,False
23588,1,1,True
22272,1,1,True
380,0,0,True
16207,1,1,True
20860,1,1,True
15242,0,1,False
5398,1,0,False
20359,0,1,False
16356,1,1,True
140,1,0,False
1657,1,0,False
13978,1,1,True
19655,1,1,True
143,1,0,False
10218,1,0,False
7230,1,0,False
13742,0,1,False
16169,0,1,False
18156,1,1,True
13567,1,1,True
5724,0,0,True
6230,1,0,False
16996,0,1,False
12271,0,0,True
14059,0,1,False
5700,0,0,True
163,1,0,False
3497,1,0,False
19501,0,1,False
3269,0,0,True
9253,1,0,False
22348,0,1,False
20418,1,0,False
18919,0,1,False
15446,0,1,False
11358,0,0,True
16736,0,1,False
15562,1,1,True
24946,1,1,True
2766,1,0,False
21108,1,1,True
882,1,0,False
6387,1,0,False
23624,0,1,False
21387,0,1,False
21131,0,1,False
20102,0,1,False
7432,1,0,False
17807,1,1,True
5204,1,0,False
5749,0,0,True
968,0,0,True
4387,1,0,False
16696,0,1,False
10237,1,0,False
21639,0,1,False
4039,0,0,True
18810,1,1,True
6196,0,0,True
20268,1,1,True
22732,0,1,False
17726,1,1,True
15456,1,1,True
9730,1,0,False
1843,1,0,False
15898,1,1,True
9635,1,0,False
4383,1,0,False
2260,1,0,False
11029,0,0,True
1617,0,0,True
12636,0,1,False
14668,1,1,True
23128,1,1,True
24147,1,1,True
18255,0,1,False
1207,1,0,False
5451,0,0,True
2922,0,0,True
16514,0,1,False
16158,1,1,True
11276,0,0,True
9876,0,0,True
22035,1,1,True
5960,0,0,True
12624,1,1,True
545,0,0,True
11628,1,0,False
17695,0,1,False
4111,0,0,True
24132,0,1,False
6830,0,0,True
1316,0,0,True
24784,1,1,True
6754,1,0,False
17356,0,1,False
23525,1,1,True
18198,0,1,False
2006,1,0,False
19676,1,1,True
14745,0,1,False
13399,1,1,True
16063,0,1,False
17309,0,1,False
14899,0,1,False
15261,0,1,False
24699,1,1,True
13390,1,1,True
17322,1,1,True
11938,0,0,True
7715,0,0,True
22312,1,1,True
15107,1,1,True
19842,0,1,False
1854,1,0,False
1719,0,0,True
8219,1,0,False
16539,1,1,True
1503,0,0,True
19559,0,1,False
21350,1,1,True
19999,0,1,False
12536,0,1,False
8667,0,0,True
23741,0,1,False
5665,1,0,False
8721,0,0,True
10120,1,0,False
10017,1,0,False
19128,1,1,True
21828,1,1,True
100,1,0,False
13270,1,1,True
1715,1,0,False
5460,0,0,True
631,0,0,True
9637,1,0,False
3826,1,0,False
254,1,0,False
5688,1,0,False
21398,1,1,True
701,1,0,False
217,0,1,False
3106,0,0,True
1131,0,0,True
5409,1,0,False
8609,0,0,True
21843,0,1,False
1964,1,0,False
14468,0,1,False
20837,0,1,False
19580,1,1,True
1871,1,0,False
2444,0,0,True
12753,0,1,False
21580,0,1,False
20044,1,1,True
4928,0,0,True
2760,0,0,True
24634,0,1,False
10106,1,0,False
4981,1,0,False
18438,1,1,True
6869,1,0,False
24051,1,1,True
17697,1,1,True
3890,1,0,False
13053,1,1,True
24783,0,1,False
12548,0,1,False
4858,0,0,True
19242,1,1,True
16584,0,1,False
15492,0,1,False
3876,1,0,False
9790,1,0,False
24764,1,1,True
1047,1,0,False
18734,1,1,True
227,1,0,False
17388,1,1,True
10870,0,0,True
5524,0,0,True
22231,1,1,True
11080,1,0,False
20795,1,1,True
18033,1,1,True
4020,0,0,True
6380,1,0,False
11055,0,0,True
19994,0,1,False
7228,0,0,True
852,0,0,True
8105,0,0,True
11856,0,0,True
13456,1,1,True
6851,1,0,False
22894,0,1,False
2490,1,0,False
19824,1,1,True
12129,0,0,True
969,1,0,False
22970,0,1,False
8503,0,0,True
13077,1,1,True
12379,1,0,False
24237,1,1,True
4999,0,1,False
7188,0,1,False
3450,1,0,False
10472,1,0,False
9932,0,0,True
6316,0,0,True
18683,1,1,True
16132,0,1,False
21106,1,1,True
13292,1,1,True
13490,0,1,False
17270,0,1,False
22387,0,1,False
6665,1,0,False
18937,0,1,False
2690,1,0,False
8666,0,0,True
22375,1,1,True
21030,0,1,False
5377,1,0,False
23235,0,1,False
16976,0,1,False
19225,0,1,False
11334,0,0,True
17934,1,1,True
5359,0,0,True
18350,1,1,True
13761,1,1,True
10053,0,0,True
11960,1,0,False
9259,0,0,True
4333,1,0,False
17736,1,1,True
22021,0,1,False
15827,0,1,False
11344,1,0,False
23349,0,1,False
5251,0,0,True
19569,0,1,False
19315,1,1,True
8349,0,0,True
4327,1,0,False
24226,0,1,False
815,0,0,True
20852,0,1,False
23930,0,1,False
16719,1,1,True
9775,1,0,False
353,0,0,True
13690,0,1,False
7332,1,0,False
9525,1,0,False
23281,0,1,False
15203,0,1,False
17443,1,1,True
8665,1,0,False
20121,0,1,False
537,0,0,True
23815,0,1,False
8031,0,0,True
19350,0,1,False
9377,0,0,True
14322,1,1,True
22831,1,1,True
17183,0,1,False
16660,1,1,True
15101,0,1,False
23450,1,1,True
544,1,0,False
526,0,0,True
17718,1,1,True
7700,0,0,True
20945,1,1,True
13611,1,1,True
3207,1,0,False
19631,0,1,False
2028,0,0,True
4485,1,0,False
28,0,0,True
16774,1,1,True
21137,1,1,True
4687,1,0,False
22932,1,1,True
11580,0,0,True
23081,0,1,False
13696,1,1,True
19825,0,1,False
14137,1,1,True
2614,0,0,True
14445,1,1,True
19155,1,1,True
6866,1,0,False
14026,1,1,True
5511,1,0,False
14151,1,1,True
15530,1,1,True
14815,0,1,False
27,0,0,True
20620,0,1,False
2448,1,0,False
16450,1,1,True
12355,1,0,False
2620,1,0,False
3305,0,0,True
17871,0,1,False
19974,0,1,False
17080,1,1,True
24148,1,1,True
15090,1,1,True
5206,0,0,True
14937,1,1,True
5232,0,0,True
3466,1,0,False
22380,1,1,True
22241,1,1,True
18303,0,1,False
19131,1,1,True
24078,1,1,True
210,1,0,False
9897,1,0,False
6156,1,0,False
15895,1,1,True
5439,1,0,False
1832,1,0,False
8606,1,0,False
16305,0,1,False
4180,0,0,True
23474,1,1,True
21529,1,1,True
21012,1,1,True
23026,1,1,True
24865,0,1,False
18922,0,1,False
18242,1,1,True
780,1,0,False
18248,0,1,False
8314,1,0,False
15982,1,1,True
20563,1,1,True
14487,1,1,True
16255,0,1,False
19749,1,1,True
15541,0,1,False
2625,1,0,False
10096,1,0,False
16521,1,1,True
11793,0,0,True
14126,1,1,True
9758,1,0,False
13329,1,1,True
21829,1,1,True
12739,0,1,False
4703,1,0,False
3492,0,0,True
24393,1,1,True
15463,1,1,True
24134,0,1,False
12361,1,0,False
23563,0,1,False
3284,0,0,True
4287,1,0,False
23397,1,1,True
13299,0,1,False
12507,1,1,True
24689,0,1,False
16941,1,1,True
9012,1,0,False
21734,1,1,True
19146,0,1,False
8398,1,0,False
20715,1,1,True
9404,0,0,True
1014,0,0,True
13735,1,1,True
17471,1,1,True
13802,0,1,False
18249,0,1,False
21901,0,1,False
7536,0,0,True
17395,0,1,False
5142,0,0,True
1673,0,0,True
10935,0,0,True
17963,1,1,True
2648,1,0,False
16507,1,1,True
17137,0,1,False
14330,0,1,False
2881,1,0,False
5932,1,0,False
10700,1,0,False
16102,0,1,False
4739,0,0,True
6390,0,0,True
23140,0,1,False
15192,0,1,False
12233,1,0,False
4299,1,0,False
23126,1,1,True
14551,0,1,False
22470,1,1,True
23932,0,1,False
7949,1,0,False
4689,0,0,True
2962,1,0,False
8119,1,0,False
695,1,0,False
24899,1,1,True
18863,0,1,False
8017,0,0,True
19783,0,1,False
24421,0,1,False
15706,1,1,True
16099,1,1,True
11124,1,0,False
7782,0,1,False
13244,1,1,True
1976,0,1,False
12927,0,1,False
3810,1,0,False
17556,1,1,True
5816,0,0,True
9387,1,0,False
21286,0,1,False
14376,1,1,True
239,0,0,True
987,1,0,False
1948,0,0,True
16270,0,1,False
19468,0,1,False
3412,1,0,False
3622,0,0,True
24762,1,1,True
21531,0,1,False
8654,0,0,True
1478,0,0,True
1121,1,0,False
17213,0,1,False
8432,1,0,False
18777,0,1,False
10786,1,0,False
200,1,0,False
1501,1,0,False
19020,0,1,False
4245,0,0,True
6743,1,0,False
21908,1,1,True
19897,1,1,True
7857,0,0,True
19599,1,1,True
12212,0,0,True
6841,1,0,False
6381,0,0,True
995,0,0,True
18762,0,1,False
4744,0,0,True
19816,0,1,False
4645,1,0,False
7165,0,0,True
5148,1,0,False
819,1,0,False
6673,0,0,True
24402,0,1,False
14877,1,1,True
22085,1,1,True
16716,1,1,True
17332,1,1,True
15376,1,1,True
824,0,0,True
8720,1,0,False
18205,0,1,False
7722,1,0,False
14076,1,1,True
18068,1,1,True
24931,0,1,False
15865,1,1,True
24110,1,1,True
10958,1,0,False
15128,1,1,True
8527,1,0,False
1893,0,0,True
496,1,0,False
6613,1,0,False
5981,1,0,False
7632,0,0,True
17630,1,1,True
8404,1,0,False
1312,0,0,True
13324,1,1,True
12480,0,0,True
8196,0,0,True
23581,1,1,True
17679,0,1,False
11599,1,0,False
15373,0,1,False
23383,1,1,True
1704,0,0,True
20335,1,1,True
8597,1,0,False
18572,1,1,True
2184,1,0,False
5436,0,0,True
8556,1,0,False
7526,0,1,False
5632,0,1,False
22103,1,1,True
12919,0,1,False
14465,1,1,True
21714,1,1,True
21576,0,1,False
16446,1,1,True
4303,0,0,True
1992,1,0,False
17764,1,1,True
9808,1,0,False
909,0,0,True
5736,0,0,True
22861,0,1,False
9764,1,0,False
21852,0,1,False
16504,0,1,False
20606,1,1,True
6886,0,0,True
14065,1,1,True
426,1,0,False
10348,0,0,True
19849,0,1,False
8312,0,0,True
22762,0,1,False
8970,1,0,False
24021,0,1,False
14475,0,1,False
10977,1,0,False
22689,1,1,True
14038,1,1,True
22778,1,1,True
11685,1,0,False
3526,1,0,False
12173,0,0,True
2931,0,0,True
16638,1,1,True
10529,0,0,True
13230,1,1,True
1844,0,0,True
16864,1,1,True
17751,0,1,False
10512,1,0,False
1374,1,0,False
9236,0,0,True
13017,1,1,True
2885,1,0,False
19929,1,1,True
1942,1,0,False
17126,1,1,True
5172,1,0,False
17626,1,1,True
24246,0,1,False
2794,1,0,False
1434,0,0,True
23219,0,1,False
16777,1,1,True
11644,0,0,True
16111,1,1,True
14524,0,1,False
6873,0,0,True
24999,0,1,False
1779,1,0,False
10825,1,0,False
8317,0,0,True
3906,0,0,True
18356,1,1,True
825,1,0,False
21433,1,1,True
13589,1,1,True
24574,1,1,True
17232,0,1,False
10612,0,0,True
9575,1,0,False
7571,1,0,False
18711,1,1,True
1947,1,0,False
917,1,0,False
20095,0,1,False
8457,0,0,True
20088,0,1,False
24953,0,1,False
18256,1,1,True
5245,1,0,False
20905,0,1,False
24061,0,1,False
24372,1,1,True
13410,1,1,True
491,0,0,True
20499,1,1,True
6190,1,0,False
11170,1,0,False
5849,0,0,True
5140,0,0,True
20166,1,1,True
22663,1,1,True
23615,1,1,True
1906,1,0,False
23090,1,1,True
9589,0,0,True
20729,0,1,False
13864,1,1,True
17592,0,1,False
20209,0,1,False
2222,0,0,True
22369,1,1,True
1856,1,0,False
11379,1,0,False
21036,1,1,True
9857,0,0,True
4136,0,0,True
5160,0,0,True
2120,0,0,True
23677,1,1,True
22774,0,1,False
13607,1,1,True
8504,0,0,True
24817,1,1,True
15737,0,1,False
5616,1,0,False
61,1,0,False
1661,0,0,True
5634,1,0,False
13233,1,1,True
1061,0,0,True
8517,1,0,False
12534,1,1,True
23022,1,1,True
19723,0,1,False
462,0,0,True
23921,1,1,True
7893,0,1,False
14201,1,0,False
11018,0,0,True
24932,0,1,False
14934,0,1,False
7231,1,0,False
2494,0,0,True
1624,1,0,False
17044,1,0,False
21566,1,0,False
20758,1,0,False
20899,1,1,True
14437,0,1,False
10398,0,0,True
22149,1,1,True
1302,0,0,True
2966,0,0,True
11784,1,0,False
11919,0,0,True
11061,0,0,True
24844,1,1,True
20523,0,1,False
6371,0,0,True
7101,0,0,True
13226,1,1,True
13158,1,1,True
9353,0,0,True
24349,1,1,True
6421,1,0,False
14584,1,1,True
21581,0,1,False
20769,0,1,False
8861,0,0,True
2902,1,0,False
502,0,0,True
4648,0,0,True
21882,1,1,True
1022,1,0,False
12765,0,1,False
2554,1,0,False
5817,0,0,True
23154,0,1,False
4349,0,0,True
17339,0,1,False
17949,0,1,False
5674,1,0,False
4254,0,0,True
21239,0,1,False
8533,0,0,True
15560,1,1,True
582,1,0,False
6354,1,0,False
15712,1,1,True
23463,1,1,True
20974,1,1,True
15938,0,1,False
22116,1,1,True
6341,0,0,True
16208,0,1,False
18025,0,1,False
18674,1,1,True
3772,1,0,False
12469,1,0,False
22899,1,1,True
9849,0,0,True
13074,0,1,False
19152,0,1,False
7942,1,0,False
11672,1,0,False
22635,0,1,False
19193,1,1,True
6805,0,0,True
8067,0,0,True
20085,1,1,True
21126,1,1,True
9251,0,0,True
21467,1,1,True
3725,1,0,False
3917,0,0,True
8497,0,0,True
21960,0,1,False
10549,1,0,False
11825,1,0,False
13738,0,1,False
11954,0,0,True
21628,0,1,False
11795,1,0,False
17576,1,1,True
23880,1,1,True
1079,1,0,False
18312,0,1,False
887,1,0,False
22271,1,1,True
16868,1,1,True
23716,1,1,True
23750,0,1,False
24509,0,1,False
